Tm,Week,Percent Capacity,Year,Away Team Wins,Home Team Wins,Time,International
DEN,8,1.0119014778325124,2013,2,6,0,0
DET,8,0.9904461538461539,2013,4,4,0,0
JAX,8,0.9716162790697674,2013,5,0,0,1
KC,8,0.972401067839196,2013,3,7,0,0
LAR,8,0.8479696969696969,2013,6,3,0,0
LV,8,0.9445742726153736,2013,2,2,0,0
MIN,8,1.0002027416914896,2013,4,1,0,0
NE,8,1.0288347872929418,2013,3,5,0,0
NO,8,0.9890312534149274,2013,3,5,0,0
PHI,8,0.9935053738720616,2013,1,3,0,0
TB,8,0.853434077841024,2013,3,0,0,0
BUF,9,0.9518349905038543,2013,8,3,0,0
CAR,9,0.984679498310337,2013,2,4,0,0
CLE,9,1.0605359552727973,2013,3,3,0,0
DAL,9,1.067,2013,1,4,0,0
GB,9,0.9592465711373878,2013,4,5,0,0
HOU,9,0.9938798116865134,2013,5,2,0,0
LAR,9,0.8275303030303031,2013,3,3,0,0
LV,9,0.9231853292184741,2013,3,3,0,0
MIA,9,0.8019471573339865,2013,6,3,0,0
NE,9,1.0288347872929418,2013,2,6,0,0
NYJ,9,0.9328121212121212,2013,6,4,0,0
SEA,9,0.9836666666666667,2013,0,7,0,0
WAS,9,0.9425294117647058,2013,4,2,0,0
ARI,10,0.9597003154574133,2013,2,4,0,0
ATL,10,0.9870977705396754,2013,8,2,0,0
BAL,10,0.9997746732762506,2013,6,3,0,0
CHI,10,1.015138211382114,2013,5,5,0,0
GB,10,0.957883621271841,2013,4,5,0,0
IND,10,0.9851343283582089,2013,3,6,0,0
LAC,10,0.9757089610408016,2013,7,4,0,0
MIN,10,0.998284493379704,2013,3,1,0,0
NO,10,0.9974046552289367,2013,5,6,0,0
NYG,10,0.9741333333333333,2013,3,2,0,0
PIT,10,0.8831286549707602,2013,3,2,0,0
SF,10,1.0,2013,5,6,0,0
TB,10,0.9310872894333844,2013,4,0,0,0
TEN,10,1.0,2013,0,4,0,0
BUF,11,0.9501173053290135,2013,5,3,0,0
CAR,11,0.9914247933001189,2013,7,6,0,0
CHI,11,1.0140975609756098,2013,4,5,0,0
CIN,11,0.9746775547584523,2013,4,6,0,0
DEN,11,1.0124926108374384,2013,9,8,0,0
HOU,11,0.9931597895319856,2013,3,2,0,0
JAX,11,0.8824257790618827,2013,5,1,0,0
MIA,11,0.9223892477727091,2013,4,4,0,0
NO,11,0.9975002731941864,2013,6,7,0,0
NYG,11,0.9589575757575758,2013,5,3,0,0
PHI,11,0.9935053738720616,2013,3,5,0,0
PIT,11,0.8465643274853801,2013,6,3,0,0
SEA,11,0.9889130434782609,2013,2,9,0,0
TB,11,0.7997919616284781,2013,2,1,0,0
TEN,11,1.0,2013,6,4,0,0
ARI,12,0.9602839116719243,2013,7,6,0,0
ATL,12,0.9886842253046555,2013,8,2,0,0
BAL,12,1.0019716088328077,2013,5,4,0,0
CLE,12,1.0605359552727973,2013,4,4,0,0
DET,12,0.9553538461538461,2013,2,6,0,0
GB,12,0.9561645854053855,2013,0,0,0,0
HOU,12,0.9922320686790362,2013,1,2,0,0
KC,12,0.9848591917922948,2013,4,9,0,0
LAR,12,1.0003636363636363,2013,6,4,0,0
LV,12,0.8206111636370124,2013,4,4,0,0
MIA,12,0.9208584637051097,2013,7,5,0,0
NE,12,1.0288347872929418,2013,9,7,0,0
NYG,12,0.9757454545454546,2013,5,4,0,0
WAS,12,0.9385058823529412,2013,6,3,0,0
BAL,13,0.999957751239297,2013,5,5,0,0
BUF,13,0.5441989721818791,2013,2,4,0,0
CAR,13,0.9723242550122216,2013,3,8,0,0
CLE,13,1.032967032967033,2013,2,4,0,0
